"主题","跟踪","状态","优先级","目标版本","描述"
"[P5] 5.2 采样入库与清理","任务","新建","正常","M1","每分钟采样 monitor_samples，保留天数可配自动清理
关联功能点：M17-7
所属阶段：P5 服务器性能监控基础"
"[P5] 5.3 实时接口与推送","任务","新建","正常","M1","实时概览接口 + /ws/monitor 秒级推送
关联功能点：M17-8
所属阶段：P5 服务器性能监控基础"
"[P5] 5.4 历史查询","任务","新建","正常","M1","按区间聚合（24h/7d/30d）历史接口
关联功能点：M17-6
所属阶段：P5 服务器性能监控基础"
"[P5] 5.5 监控页","任务","新建","正常","M1","系统信息卡 + CPU/内存/磁盘/网络 ECharts 图表一屏
关联功能点：M17-1~6/9
所属阶段：P5 服务器性能监控基础"
"[P5] 5.6 首页速览组件","任务","新建","正常","M1","NAS 资源速览环形图，点击进监控页
关联功能点：M02-12
所属阶段：P5 服务器性能监控基础"
"[P6] 阶段验收：应用探活与状态点","任务","新建","高","M1","阶段验收（dev-plan P6）
单元测试关卡：三种探测判定（命中/超时/重定向/关键字）；状态翻转去抖（避免抖动误报）。
业务功能测试关卡：docker stop 某服务 → 磁贴变红 + 收到站内通知 → start 后恢复绿色。
退出标准：探活用例全绿；真实停启容器验证链路完整。"
"[P6] 6.1 探活服务","任务","新建","正常","M1","HTTP 状态码/TCP/关键字三种探测 + APScheduler 注册
关联功能点：M07-1
所属阶段：P6 应用探活与状态点"
"[P6] 6.2 状态落库","任务","新建","正常","M1","app_status 最新状态 + 翻转事件记录
关联功能点：M07-2
所属阶段：P6 应用探活与状态点"
"[P6] 6.3 实时状态点","任务","新建","正常","M1","/ws/notify 推送 + 首页磁贴状态点即时变色 + 延迟提示
关联功能点：M07-2
所属阶段：P6 应用探活与状态点"
"[P6] 6.4 离线/恢复通知","任务","新建","正常","M1","状态变化产生站内通知（通知渠道后续接入）
关联功能点：M07-5
所属阶段：P6 应用探活与状态点"
"[P7] 阶段验收：设置中心与工具箱","任务","新建","高","M1","阶段验收（dev-plan P7）
单元测试关卡：设置键值校验与默认值；WoL 魔术包构造；Base64/时间戳转换函数。
业务功能测试关卡：改站点名与主题色全局生效；生成二维码手机可扫；密码生成器符合所选规则。
退出标准：设置即改即生效；六个工具手测通过。"
"[P7] 7.1 设置框架","任务","新建","正常","M1","settings 键值接口 + 设置页路由框架
关联功能点：M15
所属阶段：P7 设置中心与工具箱"
"[P7] 7.2 基础设置页","任务","新建","正常","M1","常规（站点名/Logo/语言/时区）、外观、关于
关联功能点：M15-1/3/11
所属阶段：P7 设置中心与工具箱"
"[P7] 7.3 工具箱速达","任务","新建","正常","M1","工具箱页 + WoL/Ping 端口测试/二维码/编解码/时间戳/密码生成器
关联功能点：M10-1/3/5/7/8/10
所属阶段：P7 设置中心与工具箱"
"[P8] 阶段验收：Docker 交付与 M1 集成验收","任务","新建","高","M1","阶段验收（dev-plan P8）
单元测试关卡：见 dev-plan
业务功能测试关卡：登录 → 建应用配多入口 → 双网段自动切入口 → 磁贴搜索直达 → 监控页实时曲线 → 探活告警，全链路走通。
退出标准：回归 100% 通过；镜像在 NAS 实机连续运行 ≥ 48h 无异常重启。"
"[P8] 8.1 compose 完整化","任务","新建","正常","M1","数据卷/TZ/SECRET_KEY/监控挂载注释说明
关联功能点：—
所属阶段：P8 Docker 交付与 M1 集成验收"
"[P8] 8.2 健康自检基础版","任务","新建","正常","M1","数据卷可写、探活与采样任务运行状态检查
关联功能点：M15-10 部分
所属阶段：P8 Docker 交付与 M1 集成验收"
"[P8] 8.3 M1 全量回归","任务","新建","正常","M1","按《功能详述》M1 功能点清单逐条勾验
关联功能点：—
所属阶段：P8 Docker 交付与 M1 集成验收"
"[P9] 阶段验收：通知中心","任务","新建","高","M2","阶段验收（dev-plan P9）
单元测试关卡：各渠道 payload 构造；规则匹配；免打扰判定；去重窗口。
业务功能测试关卡：配 Bark → 停容器 → 手机收到推送；免打扰时段仅站内可见；重复事件被合并。
退出标准：三种渠道真机收包成功。"
"[P9] 9.1 推送渠道","任务","新建","正常","M2","渠道抽象 + Bark/Telegram/SMTP/通用 Webhook + 测试发送
关联功能点：M09-4~9
所属阶段：P9 通知中心"
"[P9] 9.2 站内通知","任务","新建","正常","M2","通知列表/角标/已读/删除 + 实时推送
关联功能点：M09-1~3
所属阶段：P9 通知中心"
"[P9] 9.3 通知规则","任务","新建","正常","M2","事件×渠道路由矩阵、免打扰时段、聚合去重
关联功能点：M09-10~12
所属阶段：P9 通知中心"
"[P10] 阶段验收：监控增强与阈值告警","任务","新建","高","M2","阶段验收（dev-plan P10）
单元测试关卡：告警触发/恢复状态机（持续时长判定）；可用率计算；证书有效期解析。
业务功能测试关卡：把 CPU 阈值调到 5% → 几分钟内收到告警；配置真实域名查看证书到期天数正确。
退出标准：告警从触发到送达全链路 < 1 个采样周期。"
"[P10] 10.1 深度采集","任务","新建","正常","M2","磁盘 IO/IOPS、温度（无传感器自动隐藏）、进程 Top 榜
关联功能点：M17-10~12
所属阶段：P10 监控增强与阈值告警"
"[P10] 10.2 Docker 维度","任务","新建","正常","M2","按容器的 CPU/内存/网络统计
关联功能点：M17-13
所属阶段：P10 监控增强与阈值告警"
"[P10] 10.3 阈值告警引擎","任务","新建","正常","M2","指标超阈值持续 N 分钟告警 + 自定义规则页（可启停/级别）
关联功能点：M17-14/15
所属阶段：P10 监控增强与阈值告警"
"[P10] 10.4 可用性分析","任务","新建","正常","M2","探活事件时间线 + 24h/7d/30d 可用率
关联功能点：M07-3/4
所属阶段：P10 监控增强与阈值告警"
"[P10] 10.5 域名证书监控","任务","新建","正常","M2","HTTPS 证书到期天数，30/7/1 天分级提醒
关联功能点：M07-6
所属阶段：P10 监控增强与阈值告警"
"[P11] 阶段验收：端口监控","任务","新建","高","M2","阶段验收（dev-plan P11）
单元测试关卡：监听清单解析（含进程名映射）；端口状态翻转；占用检索；批量导入去重。
业务功能测试关卡：起临时 HTTP 服务 → 看板显示""通"" → kill 进程 → 收到断开告警；输入已知端口能查到占用进程。
退出标准：端口从异常到告警送达 < 1 个探测周期。"
"[P11] 11.1 监听清单","任务","新建","正常","M2","NAS 监听端口采集（协议/地址/端口/进程）+ 定时自动发现
关联功能点：M18-1
所属阶段：P11 端口监控"
"[P11] 11.2 端口探活项","任务","新建","正常","M2","host:port 监控项 CRUD + 定时探测 + 通断状态机
关联功能点：M18-2
所属阶段：P11 端口监控"
"[P11] 11.3 变更告警","任务","新建","正常","M2","通→断/断→通 推送通知，可挂 Flow
关联功能点：M18-3
所属阶段：P11 端口监控"
"[P11] 11.4 端口-应用关联","任务","新建","正常","M2","端口项与门户应用/入口双向跳转
关联功能点：M18-4
所属阶段：P11 端口监控"
"[P11] 11.5 检索与看板","任务","新建","正常","M2","端口占用检索、批量导入、总览看板（异常置顶）
关联功能点：M18-5~7
所属阶段：P11 端口监控"
"[P12] 阶段验收：Docker 容器管理基础","任务","新建","高","M2","阶段验收（dev-plan P12）
单元测试关卡：Docker SDK 封装 mock；敏感环境变量脱敏；操作审计写入。
业务功能测试关卡：容器列表与 docker ps 一致；重启 Jellyfin 生效；无 sock 挂载时模块自动隐藏。
退出标准：未挂载 sock 时系统零报错。"
"[P12] 12.1 接入与列表","任务","新建","正常","M2","docker.sock 开关式接入、容器列表（状态/镜像/占用）
关联功能点：M08-1
所属阶段：P12 Docker 容器管理基础"
"[P12] 12.2 生命周期操作","任务","新建","正常","M2","启动/停止/重启 + 确认弹窗 + 审计日志
关联功能点：M08-2
所属阶段：P12 Docker 容器管理基础"
"[P12] 12.3 日志与详情","任务","新建","正常","M2","尾部日志 + 实时滚动 + 详情（端口/卷/环境变量脱敏）
关联功能点：M08-3/4
所属阶段：P12 Docker 容器管理基础"
"[P13] 阶段验收：AI 助手","任务","新建","高","M2","阶段验收（dev-plan P13）
单元测试关卡：Prompt 组装；navigate 协议解析（含格式错误兜底）；会话截断策略。
业务功能测试关卡：接真实 API（或本地 Ollama）→ 问""帮我打开下载器""正确跳转；AI 生成草稿保存后出现在应用列表。
退出标准：流式输出稳定无断流；Key 不出现在任何前端响应中。"
"[P13] 13.1 Provider 接入","任务","新建","正常","M2","多套 Provider 配置、连接测试、模型列表拉取
关联功能点：M05-1~3
所属阶段：P13 AI 助手"
"[P13] 13.2 流式对话","任务","新建","正常","M2","SSE 流式 + 多会话管理 + Markdown 渲染 + 上下文轮数
关联功能点：M05-4~9
所属阶段：P13 AI 助手"
"[P13] 13.3 意图导航","任务","新建","正常","M2","应用清单注入 + {action:""navigate""} 协议 + 非法输出兜底
关联功能点：M05-10
所属阶段：P13 AI 助手"
"[P13] 13.4 上下文与指令","任务","新建","正常","M2","NAS 状态摘要注入（可开关）+ 快捷指令库
关联功能点：M05-11/12
所属阶段：P13 AI 助手"
"[P13] 13.5 AI 生成应用草稿","任务","新建","正常","M2","粘贴服务描述 → 结构化应用配置草稿 → 人工确认入库
关联功能点：M05-13
所属阶段：P13 AI 助手"
"[P14] 阶段验收：Flow 自动化表单版","任务","新建","高","M2","阶段验收（dev-plan P14）
单元测试关卡：表达式沙箱（禁危险内建/导入）；重试策略；webhook token 鉴权与吊销；cron 解析。
业务功能测试关卡：建""每天 8:00 查 qBittorrent 完成数→Bark""Flow 手动触发成功；curl 调 webhook 触发全链路；故意配错 URL 验证重试与失败告警。
退出标准：三条真实场景 Flow 稳定运行 3 天。"
"[P14] 14.1 Flow 骨架","任务","新建","正常","M2","Flow CRUD + 四种触发器（cron/webhook/手动/事件）注册
关联功能点：M06-1/4~7
所属阶段：P14 Flow 自动化表单版"
"[P14] 14.2 基础动作","任务","新建","正常","M2","HTTP 请求、通知推送（变量插值）
关联功能点：M06-9/10
所属阶段：P14 Flow 自动化表单版"
"[P14] 14.3 条件与上下文","任务","新建","正常","M2","表达式条件（安全沙箱）+ 变量传递
关联功能点：M06-8
所属阶段：P14 Flow 自动化表单版"
"[P14] 14.4 运行保障","任务","新建","正常","M2","dry-run 试运行、执行历史、失败重试、失败告警
关联功能点：M06-15~18
所属阶段：P14 Flow 自动化表单版"
"[P14] 14.5 前端编排页","任务","新建","正常","M2","表单式编排 + 启停开关 + 运行按钮 + 历史查看
关联功能点：M06-2
所属阶段：P14 Flow 自动化表单版"
"[P15] 阶段验收：应用与仪表盘增强","任务","新建","高","M2","阶段验收（dev-plan P15）
单元测试关卡：回收站恢复；模板实例化；预检超时回退顺序。
业务功能测试关卡：模板一键创建 qBittorrent 应用；预检不通时弹备选；手机扫二维码直达。
退出标准：增强项手测通过且不影响 M1 回归。"
"[P15] 15.1 应用增强","任务","新建","正常","M2","标签/可见性/备注/回收站/书签导入/模板库/批量操作
关联功能点：M03-3/7/10~16
所属阶段：P15 应用与仪表盘增强"
"[P15] 15.2 仪表盘增强","任务","新建","正常","M2","多标签页 + 天气/最近通知/Flow 状态/容器状态小组件
关联功能点：M02-5/11~15
所属阶段：P15 应用与仪表盘增强"
"[P15] 15.3 快捷搜索","任务","新建","正常","M2","自定义关键词触发外部搜索
关联功能点：M02-7
所属阶段：P15 应用与仪表盘增强"
"[P15] 15.4 入口体验增强","任务","新建","正常","M2","点击前预检回退、入口延迟曲线、二维码、环境调试页
关联功能点：M04-11/14/17/18
所属阶段：P15 应用与仪表盘增强"
"[P16] 阶段验收：效率模块","任务","新建","高","M2","阶段验收（dev-plan P16）
单元测试关卡：重复规则下次触发时间计算；路径白名单防目录穿越；qB API 适配层 mock。
业务功能测试关卡：建 5 分钟后提醒到点手机推送；上传图标在文件面板可见；qB 真实任务列表显示、添加磁力生效。
退出标准：三模块与真实服务联动验证通过。"
"[P16] 16.1 日程与提醒","任务","新建","正常","M2","月视图日历/待办/提醒推送/重复规则/节日生日
关联功能点：M13-1~5
所属阶段：P16 效率模块"
"[P16] 16.2 文件管理基础","任务","新建","正常","M2","白名单目录浏览/上传下载/文件操作/媒体预览/图标归档
关联功能点：M11-1~4/6
所属阶段：P16 效率模块"
"[P16] 16.3 下载与媒体","任务","新建","正常","M2","qBittorrent 任务列表与添加、完成通知、Jellyfin 海报墙
关联功能点：M12-1/2/4/5
所属阶段：P16 效率模块"
"[P17] 阶段验收：安全增强与系统完善","任务","新建","高","M2","阶段验收（dev-plan P17）
单元测试关卡：TOTP 校验（含时钟偏移容差）与恢复码；Token 权限范围（只读/读写）；备份导入 round-trip。
业务功能测试关卡：手机验证器绑定后登录需二次验证；PWA 安装到手机主屏像原生应用打开；自动备份生成可恢复文件。
退出标准：安全项用例全绿；越权访问测试（普通 user 调管理接口）全部 403。"
"[P17] 17.1 账号安全","任务","新建","正常","M2","TOTP 两步验证、会话/设备管理、访客模式、用户管理、审计页
关联功能点：M01-7/8/10/11/14
所属阶段：P17 安全增强与系统完善"
"[P17] 17.2 开放能力","任务","新建","正常","M2","API Token 管理、开放 API 鉴权、自定义 CSS、恢复出厂
关联功能点：M14-1/2/4/6/7
所属阶段：P17 安全增强与系统完善"
"[P17] 17.3 系统完善","任务","新建","正常","M2","注册开关/安全策略/自动备份/版本更新检查/健康自检完整版
关联功能点：M15-2/5~10
所属阶段：P17 安全增强与系统完善"
"[P17] 17.4 PWA","任务","新建","正常","M2","manifest + service worker + 图标启动屏
关联功能点：M16-2/4
所属阶段：P17 安全增强与系统完善"
"[P18] 阶段验收：M2 集成验收","任务","新建","高","M2","阶段验收（dev-plan P18）
单元测试关卡：见 dev-plan
业务功能测试关卡：应用离线告警、服务器指标阈值告警、端口断通告警、AI 意图导航、定时通知——全部真实可用。
退出标准：五场景全部通过；回归清单 100%。"
"[P18] 18.1 M2 全量回归","任务","新建","正常","M2","按《功能详述》M2 功能点清单逐条勾验
关联功能点：—
所属阶段：P18 M2 集成验收"
"[P18] 18.2 性能与安全检查","任务","新建","正常","M2","首页加载 <1s、接口压测冒烟、越权与注入扫描
关联功能点：—
所属阶段：P18 M2 集成验收"
"[P23] 阶段验收：MySQL 数据同步（SQLite → MySQL）","任务","新建","高","M2","阶段验收（dev-plan P23）
单元测试关卡：upsert 幂等（重复推送结果一致）；删除对齐；连接失败退避重试；同步范围过滤（敏感表排除）；两库类型映射（时间/布尔/JSON 字段）。
业务功能测试关卡：配置 NAS 真实 MySQL → 推送后在 MySQL 端查表数据一致；停掉 MySQL 容器 → 本地功能照常、恢复后自动补推；清空本地库从 MySQL 恢复成功。
退出标准：真实 NAS MySQL 环境定时推送连续 72h 无失败告警。"
"[P23] 23.1 ORM 双库兼容","任务","新建","正常","M2","连接串抽象确认、SQLite/MySQL 两库建表与类型映射验证
关联功能点：M15-12
所属阶段：P23 MySQL 数据同步（SQLite → MySQL）"
"[P23] 23.2 同步配置","任务","新建","正常","M2","设置页""MySQL 同步""：host/端口/账号/目标库/推送间隔/开关 + 连接测试；新增 sync_state 表
关联功能点：M15-12
所属阶段：P23 MySQL 数据同步（SQLite → MySQL）"
"[P23] 23.3 镜像推送引擎","任务","新建","正常","M2","定时全量 upsert（按主键 diff，含删除对齐）、敏感表排除（会话/Token 不同步）、""立即推送""按钮
关联功能点：M15-12
所属阶段：P23 MySQL 数据同步（SQLite → MySQL）"
"[P23] 23.4 状态与重试","任务","新建","正常","M2","每表最近推送时间/行数/结果展示；失败退避重试；MySQL 不可达不影响本地功能
关联功能点：M15-12
所属阶段：P23 MySQL 数据同步（SQLite → MySQL）"
"[P23] 23.5 灾难恢复","任务","新建","正常","M2","""从 MySQL 恢复到 SQLite""流程（含覆盖确认与自动先备份本地）
关联功能点：M15-12
所属阶段：P23 MySQL 数据同步（SQLite → MySQL）"
"[P19] 阶段验收：Flow 画布编排","任务","新建","高","M3","阶段验收（dev-plan P19）
单元测试关卡：画布序列化与表单模式互转；分支并行执行顺序正确；SSH/AI 节点真实执行。
业务功能测试关卡：见 dev-plan
退出标准：一条含分支的自动化（离线→重启→仍失败→升级通知）画布编排并稳定运行。"
"[P19] 19.1 画布编辑器","任务","新建","正常","M3","Vue Flow 拖拽节点/连线/分支并行
关联功能点：M06-3
所属阶段：P19 Flow 画布编排"
"[P19] 19.2 进阶节点","任务","新建","正常","M3","SSH 命令、Docker 操作、AI 调用、延时/变量节点
关联功能点：M06-11~14
所属阶段：P19 Flow 画布编排"
"[P19] 19.3 模板与分享","任务","新建","正常","M3","内置模板 + JSON 导入导出
关联功能点：M06-19
所属阶段：P19 Flow 画布编排"
"[P20] 阶段验收：SSH 托管隧道与端口进阶","任务","新建","高","M3","阶段验收（dev-plan P20）
单元测试关卡：隧道断线重连；并发隧道端口分配；裸露端口检测准确性。
业务功能测试关卡：见 dev-plan
退出标准：公司网络免命令直达内网服务（M3 验收场景）。"
"[P20] 20.1 隧道管理","任务","新建","正常","M3","asyncssh 隧道进程管理、密钥/密码认证、空闲回收
关联功能点：M04-16
所属阶段：P20 SSH 托管隧道与端口进阶"
"[P20] 20.2 反代路径","任务","新建","正常","M3","/tunnel/{id} 反向代理、点击直达
关联功能点：M04-16
所属阶段：P20 SSH 托管隧道与端口进阶"
"[P20] 20.3 端口进阶","任务","新建","正常","M3","延迟曲线/监听变更历史/裸露端口提示/公网可达性对比/分组标签
关联功能点：M18-8~12
所属阶段：P20 SSH 托管隧道与端口进阶"
"[P21] 阶段验收：监控与企业化进阶","任务","新建","高","M3","阶段验收（dev-plan P21）
单元测试关卡：Agent 断连重报；终端会话隔离与审计记录；更新检测对比逻辑。
业务功能测试关卡：见 dev-plan
退出标准：第二台服务器经 Agent 纳管后指标正常上报。"
"[P21] 21.1 数据与报表","任务","新建","正常","M3","监控数据 CSV 导出、性能报表、监控大屏
关联功能点：M17-16/20/21
所属阶段：P21 监控与企业化进阶"
"[P21] 21.2 Web SSH 终端","任务","新建","正常","M3","xterm.js 直连 NAS Shell、开关与审计
关联功能点：M17-17
所属阶段：P21 监控与企业化进阶"
"[P21] 21.3 多机纳管","任务","新建","正常","M3","轻量 Agent 上报 + SNMP 采集
关联功能点：M17-18/19
所属阶段：P21 监控与企业化进阶"
"[P21] 21.4 Docker 增强","任务","新建","正常","M3","批量操作、事件通知、镜像管理、更新检测
关联功能点：M08-5~8
所属阶段：P21 监控与企业化进阶"
"[P22] 阶段验收：其余远期项与 M3 验收","任务","新建","高","M3","阶段验收（dev-plan P22）
单元测试关卡：各远期项按功能点逐条测试；全系统长稳运行 7 天。
业务功能测试关卡：见 dev-plan
退出标准：三个里程碑全部关闭，形成 v1.0 发布版。"
"[P22] 22.1 企业登录","任务","新建","正常","M3","OIDC / LDAP / Passkey
关联功能点：M01-12/13
所属阶段：P22 其余远期项与 M3 验收"
"[P22] 22.2 远期功能点","任务","新建","正常","M3","最近使用、RSS 组件、AI Flow 生成/用量统计/图片理解/知识库、DNS 查询、快传、文本编辑、空间分析、日历订阅、Webhook 出站、插件预留、移动专属布局
关联功能点：M02-8/17、M05-14~17、M10-2/4/6/9/11/12、M11-5/7、M12-3/6、M13-6、M14-3/5、M16-5
所属阶段：P22 其余远期项与 M3 验收"
"[P22] 22.3 M3 验收","任务","新建","正常","M3","M3 功能点全量回归 + 长稳测试
关联功能点：—
所属阶段：P22 其余远期项与 M3 验收"
